bamorder,seq_id
1,DW-Nsa4
2,DW-Nsa1
3,DW-Nsa18
4,DW-Nsa16
5,DW-Nsa15
6,DW-Nsa10
7,DW-Nkw8
8,DW-Nkw2
9,DW-Nkw1
10,DW-Man9
11,DW-Man7
12,DW-Man6
13,DW-Nkw3
14,DW-Man5
15,DW-Man12
16,DW-Man10
17,DW-Mam6
18,DW-Nkw7
19,DW-Mam4
20,DW-Mam10
21,DW-Mam15
22,DW-Kof20
23,DW-Kof16
24,DW-Kof12
25,74-DW-Mad59
26,DW-Enc3
27,73-DW-Mad58
28,138-DW-NeA-84
29,72-DW-Mad57
30,71-DW-Mad56
31,DW-Nsa9
32,110-DW-OBP1-16
33,69-DW-Mad54
34,68-DW-Mad53
35,65-DW-Mad49
36,119-DW-AnB-4
37,DW-Asi13
38,61-DW-WE27
39,159-DW-DoM-4
40,DW-Man4
41,127-DW-AnB-12
42,81-DW-Mad66
43,DW-AgD4
44,DW-Axi13
45,DW-Nsa2
46,29-DW-Tub5
47,55-DW-WE8
48,5-DW-Suh12
49,45-DW-TP9
50,53-DW-WE6
51,12-DW-Tar7
52,48-DW-TP15
53,DW-Asa12
54,42-DW-TP5
55,DW-Bog9
56,38-DW-Tub15
57,37-DW-Tub14
58,116-DW-AnB-1
59,35-DW-Tub11
60,DW-AgD5
61,93-DW-Kom4
62,DW-Mam16
63,DW-AdF7
64,26-DW-Tub2
65,25-DW-Tub1
66,DW-AF19
67,DW-Nsa5
68,186-DW-NeA-15
69,20-DW-Tak4
70,185-DW-NeA-14
71,DW-Nkw6
72,142-DW-NeA-51
73,DW-Nkw5
74,DW-Enc21
75,DW-AdF1
76,DW-Dzo12
77,23-DW-Tak7
78,DW-Nsa17
79,DW-Bog25
80,44-DW-TP7
81,180-DW-NeA-4
82,DW-HA7
83,181-DW-NeA-5
84,174-DW-NeA-12
85,17-DW-Tak1
86,DW-Dod2
87,DW-Enc20
88,DW-Enc10
89,19-DW-Tak3
90,191-DW-Kom6
91,DW-Asi3
92,95-DW-Kom13
93,177-DW-NeA-20
94,176-DW-NeA-17
95,62-DW-WE28
96,79-DW-Mad64
97,171-DW-DoM-56
98,DW-Kof21
99,47-DW-TP11
100,11-DW-Tar6
101,169-DW-DoM-54
102,DW-Nsa12
103,DW-Dzo6
104,102-DW-OBP1-6
105,41-DW-TP4
106,164-DW-DoM-49
107,DW-Nsa11
108,66-DW-Mad50
109,135-DW-NeA-79
110,40-DW-Tub17
111,157-DW-DoM-2
112,145-DW-NeA-54
113,DW-Dzo4
114,123-DW-AnB-8
115,143-DW-NeA-52
116,DW-AF4
117,DW-Aka15
118,DW-Asi4
119,134-DW-NeA-66
120,188-DW-NeA-19
121,DW-Dod8
122,7-DW-Suh19
123,DW-Dod9
124,DW-Enc22
125,120-DW-AnB-5
126,9-DW-Tar2
127,24-DW-Tak8
128,46-DW-TP10
129,56-DW-WE9
130,76-DW-Mad61
131,DW-AF3
132,DW-Ash6
133,84-DW-Mad69
134,DW-AdF19
135,149-DW-AnB-50
136,175-DW-NeA-16
137,DW-Ash12
138,DW-Bog10
139,22-DW-Tak6
140,3-DW-Suh7
141,DW-Anl17
142,DW-Nsa13
143,125-DW-AnB-10
144,DW-Dzo13
145,DW-Kof23
146,165-DW-DoM-50
147,75-DW-Mad60
148,160-DW-DoM-5
149,114-DW-OBP1-20
150,10-DW-Tar5
151,DW-Axi2
152,100-DW-OBP1-4
153,DW-Enc19
154,107-DW-OBP1-12
155,DW-Nkw4
156,DW-AgD34
157,DW-Dzo2
158,108-DW-OBP1-13
159,146-DW-NeA-55
160,158-DW-DoM-3
161,57-DW-WE11
162,18-DW-Tak2
163,131-DW-AnB-16
164,112-DW-OBP1-18
165,DW-Dzo14
166,187-DW-NeA-18
167,105-DW-OBP1-9
168,DW-Mam9
169,DW-Aka22
170,178-DW-NeA-23
171,109-DW-OBP1-14
172,32-DW-Tub8
173,DW-AF26
174,30-DW-Tub6
175,139-DW-NeA-87
176,DW-Asi11
177,DW-Enc12
178,13-DW-Tar8
179,140-DW-NeA-49
180,DW-Aka23
181,141-DW-NeA-50
182,DW-Enc9
183,1-DW-Suh2
184,151-DW-AnB-53
185,DW-Nsa3
186,49-DW-WE1
187,54-DW-WE7
188,190-DW-Sha16
189,147-DW-NeA-57
190,78-DW-Mad63
191,85-DW-Sha2
192,DW-Asa14
193,150-DW-AnB-51
194,183-DW-NeA-9
195,DW-Asa11
196,DW-Kof10
197,173-DW-NeA-11
198,163-DW-DoM-9
199,92-DW-Kom3
200,167-DW-DoM-52
201,DW-Mam2
202,148-DW-AnB-49
203,27-DW-Tub3
204,DW-Kof18
205,DW-AF5
206,DW-HA5
207,170-DW-DoM-55
208,77-DW-Mad62
209,DW-AF2
210,166-DW-DoM-51
211,82-DW-Mad67
212,4-DW-Suh11
213,31-DW-Tub7
214,83-DW-Mad68
215,87-DW-Sha4
216,86-DW-Sha3
217,88-DW-Sha6
218,90-DW-Sha14
219,80-DW-Mad65
220,DW-Bog23
221,91-DW-Kom2
222,94-DW-Kom12
223,96-DW-Kom14
224,122-DW-AnB-7
225,182-DW-NeA-6
226,DW-Aka10
227,97-DW-OBP1-1
228,106-DW-OBP1-10
229,DW-AF11
230,70-DW-Mad55
231,98-DW-OBP1-2
232,DW-AdF10
233,DW-AF23
234,DW-AdF11
235,DW-Dzo11
236,DW-AdF17
237,DW-AdF18
238,DW-AF24
239,DW-AF17
240,DW-Dod15
241,DW-AF22
242,DW-AF6
243,DW-Axi4
244,DW-AF7
245,DW-Dod7
246,2-DW-Suh5
247,DW-AF8
248,DW-AF9
249,DW-Dzo16
250,DW-AgD37
251,DW-Dod16
252,DW-Aka20
253,DW-Asi9
254,DW-Anl11
255,DW-Asi2
256,DW-Asa5
257,192-DW-Kom7
258,43-DW-TP6
259,99-DW-OBP1-3
260,DW-Asa9
261,DW-Ash13
262,59-DW-WE19
263,DW-Ash26
264,DW-Ash9
265,DW-Asi5
266,DW-Nsa8
267,DW-Kof19
268,DW-Ash8
269,DW-Dzo8
270,101-DW-OBP1-5
271,DW-Axi16
272,DW-Axi1
273,14-DW-Tar10
274,DW-Axi3
275,DW-Bog11
276,DW-AdF3
277,DW-Axi14
278,DW-Bog16
279,DW-Bog2
280,DW-Bog13
281,DW-Bog14
282,DW-Bog15
283,DW-Bog18
284,DW-Bog1
285,DW-Bog5
286,DW-Bog6
287,DW-Axi15
288,DW-Bog8
289,15-DW-Tar11
290,DW-Dod11
291,36-DW-Tub12
292,DW-Dod18
293,DW-Dzo10
294,DW-Dzo15
295,DW-Nsa6
296,DW-Dzo1
297,21-DW-Tak5
298,DW-Dzo3
299,DW-Dzo7
300,113-DW-OBP1-19
301,DW-Dzo9
302,DW-Enc14
303,DW-Enc2
304,DW-Bog12
305,DW-Enc16
306,6-DW-Suh18
307,DW-Enc17
308,DW-Enc18
309,DW-Enc4
310,DW-Enc7
311,DW-HA2
312,DW-HA4
313,DW-HA6
314,DW-HA9